package,package_version,layer_version_arn,time_to_live
elasticsearch,7.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-elasticsearch:10,17-06-2020
requests,2.23.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-requests:10,
google-auth,1.14.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:17,27-05-2020
tldextract,2.2.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tldextract:14,27-05-2020
gspread,3.4.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:13,27-05-2020
pytesseract,0.3.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pytesseract:11,27-05-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:23,27-05-2020
grequests,0.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grequests:11,27-05-2020
boto3,1.12.41,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:39,27-05-2020
pyqldb,2.0.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:24,27-05-2020
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:35,27-05-2020
aiobotocore,1.0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:28,27-05-2020
numpy,1.18.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-numpy:9,03-06-2020
pandas,1.0.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:17,03-06-2020
ansible,2.9.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:21,27-05-2020
opencv-python-headless,4.2.0.34,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-opencv-python-headless:12,03-06-2020
spacy,2.2.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-spacy:25,03-06-2020
scipy,1.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-scipy:12,03-06-2020
crhelper,2.0.6,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-crhelper:4,
google-auth,1.14.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:18,10-06-2020
pytesseract,0.3.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pytesseract:12,
Pillow,7.1.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-Pillow:6,
tldextract,2.2.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tldextract:15,24-06-2020
gspread,3.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:14,03-06-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:24,10-06-2020
pyOpenSSL,19.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyOpenSSL:13,24-06-2020
PyMUPDF,1.16.18,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyMUPDF:18,24-06-2020
grequests,0.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grequests:12,03-06-2020
boto3,1.12.46,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:40,03-06-2020
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:36,03-06-2020
aiobotocore,1.0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:29,10-06-2020
pyqldb,2.0.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:25,03-06-2020
ansible,2.9.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:22,17-06-2020
tinydb,4.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tinydb:6,10-06-2020
arrow,0.15.6,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-arrow:10,24-06-2020
pytz,2020.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pytz:3,
gspread,3.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:15,10-06-2020
nltk,3.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-nltk:6,10-06-2020
grequests,0.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grequests:13,
boto3,1.13.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:41,10-06-2020
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:37,10-06-2020
pyqldb,2.0.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:26,10-06-2020
numpy,1.18.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-numpy:10,
pandas,1.0.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:18,24-06-2020
opencv-python-headless,4.2.0.34,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-opencv-python-headless:13,
spacy,2.2.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-spacy:26,
scipy,1.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-scipy:13,
tinydb,4.1.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tinydb:7,
google-auth,1.14.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:19,17-06-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:25,17-06-2020
gspread,3.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:16,17-06-2020
nltk,3.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-nltk:7,17-06-2020
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:38,17-06-2020
boto3,1.13.6,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:42,17-06-2020
pyqldb,2.0.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:27,17-06-2020
aiobotocore,1.0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:30,17-06-2020
loguru,0.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-loguru:4,
beautifulsoup4,4.9.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-beautifulsoup4:9,
tablib,2.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tablib:11,
elasticsearch,7.7.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-elasticsearch:11,
graphene,2.1.8,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-graphene:8,24-06-2020
aiohttp,3.6.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiohttp:16,
grpcio,1.29.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grpcio:12,24-06-2020
google-auth,1.14.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:20,24-06-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:26,24-06-2020
SQLAlchemy,1.3.17,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-SQLAlchemy:11,
gspread,3.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:17,24-06-2020
nltk,3.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-nltk:8,
boto3,1.13.11,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:43,24-06-2020
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:39,24-06-2020
pyqldb,2.0.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:28,24-06-2020
aiobotocore,1.0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:31,24-06-2020
ansible,2.9.9,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:23,24-06-2020
jellyfish,0.8.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-jellyfish:2,
arrow,0.15.6,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-arrow:11,
tldextract,2.2.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tldextract:16,
bcrypt,3.1.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-bcrypt:9,
PyNaCl,1.3.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyNaCl:9,
google-auth,1.15.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:21,
gspread,3.6.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:18,
grpcio,1.29.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grpcio:13,
graphene,2.1.8,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-graphene:9,
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:27,
pyOpenSSL,19.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyOpenSSL:14,
PyMUPDF,1.17.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyMUPDF:19,
python-docx,0.8.10,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-python-docx:5,
aiobotocore,1.0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:32,
boto3,1.13.16,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:44,
pyqldb,2.0.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:29,
aws-xray-sdk,2.5.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:40,
pandas,1.0.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:19,
ansible,2.9.9,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:24,
